promise_id,promise_text,code_status,test_status,measured_status,docs_status,gap,priority,owner_phase,notes,evidence_links
P-11,MLX resume arguments fail closed,present,integration,n/a,current,No material gap. --resume-from rejected on MLX train/run; resume_supported false enforced in metrics/validation; full-training resume fail-closed in operator docs.,P2,none,NG-05 freeze aligns. Do not weaken during M3.,"src/aptus/_bundle_programs/mlx/train.py; mlx/run.py; tests/aptus/test_generation.py (test_generated_mlx_resume_arguments_fail_closed test_bundle_documents_parent_runner_and_fail_closed_resume); docs/guides/choose-your-path.md Path B; docs/operations/release-gates.md; M0-NONGOALS-FREEZE.md NG-05"
P-12,CUDA multi-GPU not falsely claimed ready,present,integration,none,current,"Planner enumerates DDP/FSDP rows as planner-supported or unsupported; single-GPU plans mark multi-GPU strategies UNSUPPORTED with reasons. Public docs explicitly leave multi-GPU acceptance open (NG-07). Residual risk is dual vocabulary planner-supported vs runtime-qualified if UI styles planner support as ready.",P1,M2,No multi-GPU measured campaign (correct). M2 must ensure Compare stage never paints DDP/FSDP as measured-ready. Not a current false claim on README/capability matrix after forensic read.,"tests/aptus/test_planning.py (test_single_gpu_keeps_multi_gpu_strategies_visible_but_unsupported); docs/reference/capability-matrix.md CUDA matrix + multi-GPU open statements; README.md What is supported; docs/operations/evidence/2026-08-11-cuda-phase10-certification/ (explicit non multi-GPU); M0-NONGOALS-FREEZE.md NG-07; M0-PATH-BETA-FREEZE.md non-claims"
P-13,Job cancellation does not mark success,present,integration,historical,current,Cancel persists cancelled; never relabels dead process as success; verifying noncancellable; Phase 9 historical job-control exercises passed.,P2,none,Keep green under M3/M4 job ladders. Phase 9 is historical supporting evidence not current-HEAD path proof.,"src/aptus/execution.py cancel path; tests/aptus/test_execution.py (test_cancel_terminates_process_group_and_persists_cancelled_state test_completion_verification_is_noncancellable); docs/operations/release-gates.md §5 Job control; docs/operations/evidence/2026-08-11-cuda-phase9-endurance/"
P-14,Doctor does not silently install packages,present,integration,n/a,current,No material gap. build_doctor_report sets installation_performed false; probes only; next_steps instruct operator to install explicitly.,P2,none,Aligns NG-10. Bundle pip install is operator-initiated in runbook not doctor.,"src/aptus/diagnostics.py (installation_performed: False); src/aptus/cli.py doctor help; tests/aptus/test_diagnostics.py (test_doctor_reports_readiness_without_exposing_environment_values); docs/operations/operator-checklist.md; M0-NONGOALS-FREEZE.md NG-10"
P-15,Claim language on README matches evidence,present,static-only,historical,current,"README claim language is carefully evidence-bound (enumerated set not optimal; exact packets; multi-GPU open; unreleased 0.2). No live false-yes found on public README during audit. Gap is ongoing sustain plus absence of a single release-honest product promise packet (expected pre-M3/M4).",P1,M9,P1 for mission anti-drift forever; no immediate wording fix required. Re-audit after M3/M4 evidence updates. test_documentation pins some claim-language strings.,"README.md; docs/product/claim-language.md; docs/product/current-capabilities.md; tests/aptus/test_documentation.py; docs/operations/evidence/2026-08-05-qwen2-mlx-lm-exact-source-refresh/; docs/operations/evidence/2026-08-06-smollm2-cuda-lora-single-acceptance/; docs/operations/evidence/2026-08-11-cuda-phase10-certification/"
P-16,Path Alpha can be completed by solo operator runbook,partial,static-only,historical,partial,"Mechanics exist (plan/compile/validate/run/parent promotion). Missing: identity-bound solo runbook for path-alpha-mlx-qlora-v1 (exact model revision dataset pins interpreter steps); current-HEAD re-proof of measured-run-pass; release-evidence packet at HEAD. Historical exact-source refresh is identity freeze only (M0).",P1,M3,M0 freeze explicitly: historical success is not M3 exit. Prefer reusing frozen identity; document any delta. General Path B in choose-your-path is not Alpha-identity complete.,".superpowers/mission-integrity-plan/M0-PATH-ALPHA-FREEZE.md; docs/operations/evidence/2026-08-05-qwen2-mlx-lm-exact-source-refresh/; docs/getting-started/choose-your-path.md Path B; docs/operations/operator-checklist.md; docs/guides/compile-validate-run.md; docs/product/mission-integrity-plan.md §10 M3"
P-17,Path Beta can be completed by solo operator runbook,partial,static-only,historical,partial,"Mechanics exist for CUDA single LoRA five-job ladder + structural PEFT export. Missing: identity-bound Mac→CUDA handoff runbook for path-beta-cuda-lora-single-v1; clean-env dependency install at current HEAD; measured re-proof on authorized host class. Phase 5/10 are supporting not primary identity.",P1,M4,M0 freeze: M4 must re-prove; do not merge Phase 5 source into acceptance identity. Semantic CUDA adapter reload remains non-claim.,".superpowers/mission-integrity-plan/M0-PATH-BETA-FREEZE.md; docs/operations/evidence/2026-08-06-smollm2-cuda-lora-single-acceptance/; docs/operations/evidence/2026-08-10-cuda-phase5-repeatability-anchor/; docs/operations/evidence/2026-08-11-cuda-phase10-certification/; docs/getting-started/choose-your-path.md; docs/guides/compile-validate-run.md; docs/product/mission-integrity-plan.md M4"
P-18,Refusal explains what fact would need to change,partial,static-only,n/a,drift,"rejection_reasons are human-readable but not structured changeable_facts. No M2 refusal catalog. Troubleshooting gives generic causes not per-reason change maps. Does not fully meet mission three-question bar (what/why/what can change).",P1,M2,Highest mission-linked UX gap after false-yes hunt found no silent yes. M2.1 catalog is the primary closeout.,"src/aptus/planning.py rejection_reasons construction; docs/guides/troubleshooting.md; docs/reference/error-codes.md; docs/product/mission-integrity-plan.md §9.5 Design rule; web/src Compare/rejection display surfaces"
P-19,Recommended alternative is within enumerated set only,present,integration,n/a,current,"recommended is always a listed candidate; select_candidate rejects nonselectable/mutated/rejected. No optimizer outside catalog. First-class correction loop (one-click ideal fix) is incomplete productization (M5) but does not leave the enumerated set.",P2,M5,Invariant I4 holds in code/docs. M5 owns correction UX polish not a new searcher.,"src/aptus/planning.py recommended selection; src/aptus/plan_contract.py select_candidate; tests/aptus/test_plan_contract.py (test_select_candidate_rejects_nonselectable); README.md recommendation wording; docs/product/claim-language.md; docs/product/mission-integrity-plan.md §9–11 M5"
P-20,Export verification matches release-gates for path,present,integration,historical,current,"Structural export verification implemented for CUDA PEFT and MLX final-export/reload contracts per release-gates. Path Alpha historical includes fresh-process reload; Path Beta structural only (semantic CUDA reload open by design). Current-HEAD path-scoped gate closeout not done.",P1,M3,M3 closes Alpha export+reload+promotion at HEAD. M4 closes Beta structural PEFT export verification at HEAD without claiming semantic reload. Align packets with docs/operations/release-gates.md and release-evidence-template.md.,"src/aptus/validation.py final-export checks; tests/aptus/test_validation.py; docs/operations/release-gates.md §4; docs/operations/evidence/2026-08-05-qwen2-mlx-lm-exact-source-refresh/; docs/operations/evidence/2026-08-06-smollm2-cuda-lora-single-acceptance/ (adapter_model.safetensors structural); docs/product/claim-language.md parent verified structural export"
